,dat.caseS,dat.caseE,diff
256,4:40pm,5:20pm,
257,11:40am,12:20pm,
258,11:40am,12:15pm,
259,1:00pm,1:40pm,
260,5:40pm,6:20pm,
261,6:55pm,7:35pm,
262,8:20pm,9:00pm,
263,3:50pm,10:00pm,
264,9:40am,11:00am,
265,12:00pm,1:00pm,
266,11:50am,12:40pm,
267,5:30am,12:30pm,
268,11:05am,11:50am,
269,12:45pm,3:30pm,
270,12:55pm,1:45pm,
271,6:35pm,7:30pm,
272,2:20pm,3:00pm,
273,2:50pm,3:30pm,
274,1:50pm,2:50pm,
275,10:30am,11:20am,
276,10:50am,11:30am,
277,4:10pm,5:00pm,
278,8:00pm,8:45pm,
279,2:50pm,4:00pm,
280,12:00am,11:59pm,
281,12:00am,12:00pm,
282,9:15am,6:00pm,
283,9:30am,10:30am,
284,11:00am,12:20pm,
285,2:00pm,2:40pm,
286,2:00pm,2:45pm,
287,7:00pm,8:00pm,
288,5:00pm,6:00pm,
289,3:15pm,4:10pm,
290,3:10pm,3:50pm,
291,3:40pm,4:30pm,
292,3:50pm,4:30pm,
293,7:45am,8:30am,
294,1:20pm,2:10pm,
295,7:45am,5:00pm,
296,8:00am,3:30pm,
297,8:00am,8:30am,
298,4:00pm,4:30pm,
299,3:40pm,4:30pm,
300,4:00pm,6:00pm,
301,2:50pm,2:56pm,
302,5:01pm,5:03pm,
303,1:30pm,2:00pm,
304,6:45pm,7:30pm,
305,7:00pm,7:30pm,
306,4:50pm,5:30pm,
307,5:30am,12:30pm,
308,11:40am,12:30pm,
309,5:20am,5:30pm,
310,10:15am,11:10am,
311,10:55am,11:35am,
312,11:00am,11:40am,
313,3:00pm,3:45pm,
314,8:30pm,9:20pm,
315,12:00am,11:59pm,
316,12:00am,11:59pm,
317,6:50pm,7:30pm,
318,7:40pm,8:10pm,
319,4:15pm,5:15pm,
320,3:00pm,4:00pm,
321,9:25am,10:05am,
322,10:20am,11:30am,
323,7:30pm,8:30pm,
324,2:40pm,3:30pm,
325,2:50pm,3:45pm,
326,4:00pm,5:40pm,
327,5:00pm,5:50pm,
328,5:15pm,6:00pm,
329,5:00pm,6:30pm,
330,5:30am,12:30pm,
331,12:30pm,1:45pm,
332,11:45am,1:15pm,
333,9:20am,10:00am,
334,11:30am,12:45pm,
335,3:40pm,4:30pm,
336,4:15pm,5:00pm,
337,5:40pm,6:30pm,
338,3:50pm,4:40pm,
339,5:20am,6:00pm,
340,10:00am,10:40am,
341,8:00am,2:00pm,
342,8:00am,2:00pm,
343,2:10pm,3:00pm,
344,2:20pm,3:20pm,
345,2:40pm,3:30pm,
346,9:40am,4:30pm,
347,4:00pm,10:30pm,
348,5:40pm,6:50pm,
349,1:40pm,3:30pm,
350,6:20pm,7:10pm,
351,2:30pm,4:00pm,
352,1:10pm,2:20pm,
353,5:00pm,6:00pm,
354,5:10pm,6:00pm,
355,5:20pm,5:50pm,
356,5:20pm,6:15pm,
357,3:50am,6:00pm,
358,12:00pm,2:00pm,
359,8:00am,5:00pm,
360,8:00am,5:00pm,
361,10:45am,4:30pm,
362,4:00pm,10:30pm,
363,8:30am,9:30am,
364,11:55am,12:50pm,
365,2:40pm,3:35pm,
366,10:10am,11:10am,
367,10:30am,11:15am,
368,10:00am,10:45am,
369,6:20pm,7:30pm,
370,10:35am,11:30am,
371,8:40am,10:00am,
372,4:00pm,4:40pm,
373,5:35pm,7:45pm,
374,5:10pm,6:15pm,
375,3:00pm,3:45pm,
376,2:00pm,10:00pm,
377,4:00pm,5:30pm,
378,4:15pm,5:30pm,
379,12:20pm,1:10pm,
380,12:40pm,2:00pm,
381,9:50am,11:00am,
382,10:20am,11:30am,
383,9:35am,10:30am,
384,7:00pm,7:50pm,
385,11:05am,11:45am,
386,11:05am,11:45am,
387,11:10am,12:00pm,
388,1:25pm,2:10pm,
389,10:40am,11:30am,
390,5:10pm,5:50pm,
391,12:20pm,1:10pm,
392,12:40pm,1:30pm,
393,2:10pm,2:45pm,
394,2:41pm,3:03pm,
395,4:38pm,4:48pm,
396,3:35pm,3:54pm,
397,2:10pm,3:00pm,
398,7:30pm,9:00pm,
399,3:30pm,4:30pm,
400,1:50pm,2:45pm,
401,3:00pm,4:10pm,
402,12:30pm,2:00pm,
403,12:30pm,2:00pm,
404,12:10am,12:50am,
405,6:10pm,7:00pm,
406,12:00am,11:59pm,
407,8:00am,12:00pm,
408,7:00am,3:00pm,
409,2:50pm,3:50pm,
410,2:50pm,3:40pm,
411,3:00pm,4:00pm,
412,2:15pm,3:00pm,
413,2:30pm,3:00pm,
414,5:00pm,6:00pm,
415,12:30pm,1:00pm,
416,12:45pm,1:45pm,
417,8:45pm,9:30pm,
418,7:20pm,8:00pm,
419,3:35pm,4:35pm,
420,7:55pm,8:40pm,
421,9:35am,10:25am,
422,1:30pm,3:00pm,
423,1:45pm,2:40pm,
424,11:30am,1:00pm,
425,9:30am,10:00am,
426,2:00pm,2:30pm,
427,2:00pm,3:00pm,
428,2:15pm,3:00pm,
429,2:10pm,3:00pm,
430,1:45pm,2:45pm,
431,1:45pm,3:00pm,
432,12:15pm,12:45pm,
433,9:30am,10:30am,
434,8:00am,8:45am,
435,5:00pm,6:00pm,
436,5:45pm,6:45pm,
437,11:30am,12:45pm,
438,10:00am,11:00am,
439,5:00pm,6:00pm,
440,7:00pm,7:30pm,
441,8:50am,9:20am,
