"","update","date","locations","contact","nsites"
"1",1,"30/08/2021",36,"Casual",15
"3",2,"30/08/2021",36,"Casual",15
"5",3,"27/08/2021",24,"Casual",19
"7",4,"26/08/2021",26,"Casual",13
"9",5,"26/08/2021",26,"Casual",13
"11",6,"01/09/2021",19,"Casual",8
"2",1,"30/08/2021",36,"Monitor",21
"4",2,"30/08/2021",36,"Monitor",21
"6",3,"27/08/2021",24,"Monitor",5
"8",4,"26/08/2021",26,"Monitor",13
"10",5,"26/08/2021",26,"Monitor",13
"12",6,"01/09/2021",19,"Monitor",11
