Region,Total.cases,Acitve.cases,Totalrecovered,Totaldeaths,Test,Isolation.all,Isolation.current
Cairns and Hinterland,39,0,38,0,1025832,"3,359",92
Central Queensland,10,0,10,0,1025832,"1,439",7
Central West,0,0,0,0,1025832,0,0
Darling Downs,46,0,44,2,1025832,"2,430",70
Gold Coast,199,1,199,0,1025832,"17,988",1641
Mackay,16,0,16,0,1025832,"1,457",12
Mater Health Service,0,0,0,0,1025832,0,0
Metro North,325,0,321,3,1025832,"28,269","2,299"
Metro South,293,5,284,0,1025832,"19,986",721
North West,0,0,0,0,1025832,0,0
South West,0,0,0,0,1025832,0,0
Sunshine Coast,97,1,96,1,1025832,"6,556",59
Torres and Cape,0,0,0,0,1025832,0,0
Townsville,30,0,29,0,1025832,"1,880",50
West Moreton,69,19,48,0,1025832,"3,998",274
Wide Bay,25,0,25,0,1025832,"1,935",15
Interstate/Other,0,0,0,0,1025832,"9,042",33
